PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,10.3,0.0,0,0,0,13.2,86.8,1004.0,70,2.6
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,10.1,0.0,0,0,0,13.0,86.4,1004.2,78,2.5
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,9.8,0.0,0,0,0,12.8,86.1,1004.2,87,2.5
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,9.3,0.0,0,0,0,12.6,85.9,1004.1,96,2.5
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,8.8,0.0,0,0,0,12.3,85.7,1004.1,105,2.5
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,8.8,0.0,0,0,0,12.1,84.3,1004.4,112,2.6
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,9.1,0.0,4,42,8,11.9,81.8,1005.0,119,2.7
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,9.5,0.0,37,519,125,11.6,79.4,1005.6,124,2.9
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,10.9,0.0,57,745,295,11.4,75.7,1006.0,125,2.7
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,13.3,0.0,67,840,437,11.3,71.0,1006.0,119,2.3
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,15.7,1.1,84,851,525,11.2,66.7,1006.1,111,1.9
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,17.2,2.3,100,828,553,11.1,63.1,1006.0,101,1.5
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,17.6,0.0,71,892,537,11.1,60.0,1005.7,86,1.2
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,18.1,0.0,67,850,448,11.1,57.1,1005.5,62,1.0
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,17.7,5.2,84,628,293,11.0,58.1,1005.5,42,1.2
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,16.6,10.5,66,331,122,10.9,63.0,1005.8,36,1.7
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,15.5,0.0,6,67,12,10.7,68.4,1006.1,33,2.2
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,14.5,0.0,0,0,0,10.5,72.6,1006.5,38,2.4
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,13.7,0.0,0,0,0,10.2,75.2,1007.0,52,2.3
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,12.9,0.0,0,0,0,10.0,77.9,1007.4,66,2.3
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,12.3,0.0,0,0,0,9.6,80.0,1007.6,78,2.3
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,11.9,15.3,0,0,0,9.3,81.6,1007.5,90,2.1
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,11.5,47.3,0,0,0,8.9,83.1,1007.5,103,2.0
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,11.0,40.9,0,0,0,8.6,84.2,1007.5,113,1.9
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,10.4,30.6,0,0,0,8.5,84.7,1007.5,118,1.7
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,9.8,25.4,0,0,0,8.4,85.2,1007.6,125,1.5
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,9.2,0.1,0,0,0,8.4,85.4,1007.7,132,1.4
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,8.8,0.0,0,0,0,8.3,85.2,1007.7,136,1.4
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,8.4,0.0,0,0,0,8.2,85.0,1007.7,141,1.4
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,8.4,0.0,0,0,0,8.2,83.7,1008.1,144,1.4
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,8.9,0.0,4,46,8,8.3,81.3,1008.8,146,1.5
